week;rank;title;singer;writer;album;isMV
43;27;sao em no;jaykii;duong khac linhtrang phap;;true
43;28;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
43;29;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
43;30;cham day noi dau;erik;mr siro;cham day noi dau single;true
43;31;roi bo;hoa minzy;vu huy hoang;roi bo single;true
43;32;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
43;33;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
43;34;catena;toc tien touliver;bui cong nam;catena single;true
43;35;nguoi am phu;osad vrt;osadvrt;;false
43;36;vo thuong;karik orange;karik;;false
43;37;co mot noi nhu the;phan manh quynh;phan manh quynh;co mot noi nhu the single;false
43;38;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
43;39;cuoc song em on khong;anh tu;vuong anh tu;;false
43;40;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
44;1;vo tinh;xesi hoaprox;xesi;vo tinh single;false
44;2;thang dien;justatee phuong ly;virussjustatee;;true
44;3;cang niu giu cang de mat;mr siro;mr siro;;false
44;4;hongkong1 official version;nguyen trong tai san ji double x;nguyen trong taisan jidouble x;;false
44;5;chap nhan;hoa minzy;an trinh;chap nhan single;true
44;6;em khong the;tien tien touliver;tien tien;em khong the single;true
44;7;nguoi la thoang qua;khoi my;bao thach;nguoi la thoang qua single;false
44;8;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
44;9;dung noi toi dien;hien ho;phuc bo;;false
44;10;tan cung noi nho;will;andiez;tan cung noi nho single;true
44;11;em ngu chua;trinh thang binh osad;trinh thang binhosad;;false
44;12;mai mai se het vao ngay mai;andiez;andiez;;false
44;13;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
44;14;buon khong em;dat g;dat g;;false
44;15;con la gi cua nhau;chau khai phong;thanh hung;;false
44;16;yeu don phuong;onlyc karik;onlyckarik;;false
44;17;dung quen ten anh;hoa vinh;dat g;;false
44;18;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
44;19;nhu loi don;bao anh;khac hung;nhu loi don single;false
44;20;thay the;ho gia hung;dong thien duc;thay the single;false
44;21;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
44;22;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
44;23;nguoi ta;si thanh;huynh quoc huy;;false
44;24;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
44;25;thanh xuan;da lab;da lab;;false
44;26;tam tu em giau;wendy thao;wendy thao;tam tu em giau single;false
44;27;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
44;28;tan cung noi nho new version;will han sara;andiez;;false
44;29;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
44;30;sao em no;jaykii;duong khac linhtrang phap;;true
44;31;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
44;32;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
44;33;cham day noi dau;erik;mr siro;cham day noi dau single;true
44;34;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
44;35;roi bo;hoa minzy;vu huy hoang;roi bo single;true
44;36;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
44;37;co mot noi nhu the;phan manh quynh;phan manh quynh;co mot noi nhu the single;false
44;38;nguoi am phu;osad vrt;osadvrt;;false
44;39;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
44;40;catena;toc tien touliver;bui cong nam;catena single;true
45;1;vo tinh;xesi hoaprox;xesi;vo tinh single;false
45;2;em khong the;tien tien touliver;tien tien;em khong the single;true
45;3;thang dien;justatee phuong ly;virussjustatee;;true
45;4;hongkong1 official version;nguyen trong tai san ji double x;nguyen trong taisan jidouble x;;false
45;5;chap nhan;hoa minzy;an trinh;chap nhan single;true
45;6;cang niu giu cang de mat;mr siro;mr siro;;false
45;7;nguoi la thoang qua;khoi my;bao thach;nguoi la thoang qua single;false
45;8;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
45;9;dung noi toi dien;hien ho;phuc bo;;false
45;10;mai mai se het vao ngay mai;andiez;andiez;;false
45;11;tan cung noi nho;will;andiez;tan cung noi nho single;true
45;12;buon khong em;dat g;dat g;;false
45;13;con la gi cua nhau;chau khai phong;thanh hung;;false
45;14;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
45;15;em ngu chua;trinh thang binh osad;trinh thang binhosad;;false
45;16;yeu don phuong;onlyc karik;onlyckarik;;false
45;17;dung quen ten anh;hoa vinh;dat g;;false
45;18;thay the;ho gia hung;dong thien duc;thay the single;false
45;19;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
45;20;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
45;21;nhu loi don;bao anh;khac hung;nhu loi don single;false
45;22;tam tu em giau;wendy thao;wendy thao;tam tu em giau single;false
45;23;thanh xuan;da lab;da lab;;false
45;24;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
45;25;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
45;26;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
45;27;nguoi ta;si thanh;huynh quoc huy;;false
45;28;tan cung noi nho new version;will han sara;andiez;;false
45;29;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
45;30;yeu mot nguoi sau anh;gin tuan kiet;andiez;yeu mot nguoi sau anh single;true
45;31;tat ca se thay em;pham quynh anh;hamlet truong;tat ca se thay em single;true
45;32;sao em no;jaykii;duong khac linhtrang phap;;true
45;33;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
45;34;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
45;35;cham day noi dau;erik;mr siro;cham day noi dau single;true
45;36;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
45;37;roi bo;hoa minzy;vu huy hoang;roi bo single;true
45;38;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
45;39;co mot noi nhu the;phan manh quynh;phan manh quynh;co mot noi nhu the single;false
45;40;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
46;1;anh dang o dau day anh;huong giang;andiez;anh dang o dau day anh single;true
46;2;vo tinh;xesi hoaprox;xesi;vo tinh single;false
46;3;em khong the;tien tien touliver;tien tien;em khong the single;true
46;4;hongkong1 official version;nguyen trong tai san ji double x;nguyen trong taisan jidouble x;;false
46;5;thang dien;justatee phuong ly;virussjustatee;;true
