week;rank;title;singer;writer;album;isMV
38;31;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
38;32;nguoi am phu;osad vrt;osadvrt;;false
38;33;cu lac;osad turn hirn;osad;;false
38;34;sofar;binz;binz;;false
38;35;cuoc song em on khong;anh tu;vuong anh tu;;false
38;36;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
38;37;co gai m52;huyr tung viu;huyrtung viu;;false
38;38;em oi em dau roi;chu bin;dinh tung huy;;false
38;39;tap co don;le bao binh;le bao binh;;false
38;40;vi yeu la nho ong ngoai tuoi 30 ost;han sara;onlycquang hung;;false
39;1;cang niu giu cang de mat;mr siro;mr siro;;false
39;2;tan cung noi nho;will;andiez;tan cung noi nho single;true
39;3;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
39;4;buon khong em;dat g;dat g;;false
39;5;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
39;6;dung quen ten anh;hoa vinh;dat g;;false
39;7;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
39;8;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
39;9;thay the;ho gia hung;dong thien duc;thay the single;false
39;10;tan cung noi nho new version;will han sara;andiez;;false
39;11;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
39;12;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
39;13;u co anh day;tino;tang nhat tue;u co anh day single;false
39;14;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
39;15;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
39;16;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
39;17;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
39;18;thanh xuan;da lab;da lab;;false
39;19;cham day noi dau;erik;mr siro;cham day noi dau single;true
39;20;sao em no;jaykii;duong khac linhtrang phap;;true
39;21;phai the thoi;le bao binh;le bao binh;;false
39;22;gia ngay dau dung noi thuong nhau;isaac;ngoc dolil;gia ngay dau dung noi thuong nhau single;false
39;23;minh chia tay di;erik;shin hyun wookrazy park;;false
39;24;do em biet anh dang nghi gi;den justatee bien;den;do em biet anh dang nghi gi single;false
39;25;catena;toc tien touliver;bui cong nam;catena single;true
39;26;roi bo;hoa minzy;vu huy hoang;roi bo single;true
39;27;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
39;28;vo thuong;karik orange;karik;;false
39;29;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
39;30;phia sau em;kay tran binz;kay tranbinz;;false
39;31;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
39;32;nguoi am phu;osad vrt;osadvrt;;false
39;33;cuoc song em on khong;anh tu;vuong anh tu;;false
39;34;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
39;35;co gai m52;huyr tung viu;huyrtung viu;;false
39;36;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
39;37;vi yeu la nho ong ngoai tuoi 30 ost;han sara;onlycquang hung;;false
39;38;nguoi doi thay;cao nam thanh;cao nam thanh;;false
39;39;ai khoc noi dau nay;bao anh;duc tri;;false
39;40;yeu thuong ngay do yeu em bat chap ost;soobin hoang son;khoa nguyen;yeu thuong ngay do yeu em bat chap ost single;true
40;1;cang niu giu cang de mat;mr siro;mr siro;;false
40;2;chuyen tinh toi;kay tran nguyen khoa kass;nguyen khoa;chuyen tinh toi single;true
40;3;tan cung noi nho;will;andiez;tan cung noi nho single;true
40;4;con yeu dau ai roi di;duc phuc;nguyen hong thuan;con yeu dau ai roi di single;true
40;5;buon khong em;dat g;dat g;;false
40;6;dung quen ten anh;hoa vinh;dat g;;false
40;7;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
40;8;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
40;9;thay the;ho gia hung;dong thien duc;thay the single;false
40;10;tan cung noi nho new version;will han sara;andiez;;false
40;11;thanh xuan;da lab;da lab;;false
40;12;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
40;13;hongkong1 official version;nguyen trong tai san ji double x;nguyen trong taisan jidouble x;;false
40;14;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
40;15;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
40;16;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
40;17;don coi tinh toi;chau khai phong;duy cuong;don coi tinh toi single;true
40;18;u co anh day;tino;tang nhat tue;u co anh day single;false
40;19;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
40;20;cham day noi dau;erik;mr siro;cham day noi dau single;true
40;21;sao em no;jaykii;duong khac linhtrang phap;;true
40;22;phai the thoi;le bao binh;le bao binh;;false
40;23;roi bo;hoa minzy;vu huy hoang;roi bo single;true
